//联锁表-标准站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
78    |DCJL|XIVDA,D2A    |XIV     |(14-16),6-8,10-12,2-4                     |16DG,14DG,6-12DG,4DG                     |D20,D10;
79    |DCJL|XIVDA,D10A    |XIV     |(14-16),6-8,10-12                     |16DG,14DG,6-12DG                     |D20,D10;
80    |DCJL|XIVDA,D12A    |XIV     |(14-16),6-8,(10-12),6-8                     |16DG,14DG,6-12DG,8-10DG                     |D20,D12;
81    |DCJL|XIVDA,D22A    |XIV     |14-16                     |16DG                     |D22;
82    |DCJL|XIIDA,D4A    |XII     |14-16,6-8,10-12,(2-4)                     |14DG,6-12DG,4DG,2DG                     |D20,D10;
83    |DCJL|XIIDA,D2A    |XII     |14-16,6-8,10-12,2-4                     |14DG,6-12DG,4DG                     |D20,D10;
84    |DCJL|XIIDA,D10A    |XII     |14-16,6-8,10-12                     |14DG,6-12DG                     |D20,D10;
85    |DCJL|XIIDA,D12A    |XII     |14-16,6-8,(10-12),6-8                     |14DG,6-12DG,8-10DG                     |D20,D12;
86    |DCJL|XIDA,D4A    |XI     |18,10-12,(6-8),10-12,(2-4)                     |18DG,20DG,8-10DG,6-12DG,4DG,2DG                     |D18;
87    |DCJL|XIDA,D2A    |XI     |18,10-12,(6-8),10-12,2-4                     |18DG,20DG,8-10DG,6-12DG,4DG                     |D18;
88    |DCJL|XIDA,D10A    |XI     |18,10-12,(6-8),10-12                     |18DG,20DG,8-10DG,6-12DG                     |D18;
89    |DCJL|XIDA,D12A    |XI     |18,10-12,6-8                     |18DG,20DG,8-10DG                     |D18;
90    |DCJL|XIDA,D18A    |XI     |18                     |18DG,20DG                     |D18;
91    |DCJL|X3DA,D4A    |X3     |20-22,(18),10-12,(6-8),10-12,(2-4)                     |20DG,18DG,8-10DG,6-12DG,4DG,2DG                     |D18;
92    |DCJL|X3DA,D2A    |X3     |20-22,(18),10-12,(6-8),10-12,2-4                     |20DG,18DG,8-10DG,6-12DG,4DG                     |D18;
93    |DCJL|X3DA,D10A    |X3     |20-22,(18),10-12,(6-8),10-12                     |20DG,18DG,8-10DG,6-12DG                     |D18;
94    |DCJL|X3DA,D12A    |X3     |20-22,(18),10-12,6-8                     |20DG,18DG,8-10DG                     |D18;
95    |DCJL|X3DA,D18A    |X3     |20-22,(18)                     |20DG,18DG                     |D18;
96    |DCJL|D4A,XIVDA    |D4     |2-4,14-16                     |2DG,16DG                     |D6;
97    |DCJL|D4A,XIIDA    |D4     |(2-4),10-12,6-8,14-16                     |2DG,4DG,6-12DG,14DG                     |D8;
98    |DCJL|D4A,XIDA    |D4     |(2-4),10-12,(6-8),10-12,18                     |2DG,4DG,6-12DG,8-10DG,18DG,20DG                     |D8;
99    |DCJL|D4A,X3DA    |D4     |(2-4),10-12,(6-8),10-12,(18),20-22                     |2DG,4DG,6-12DG,8-10DG,18DG,20DG                     |D8;
100    |DCJL|D4A,D6A    |D4     |2-4                     |2DG                     |D6;
101    |DCJL|D4A,D8A    |D4     |(2-4)                     |2DG,4DG                     |D8;
102    |DCJL|D4A,D14A    |D4     |(2-4),10-12,(6-8),10-12                     |2DG,4DG,6-12DG,8-10DG                     |D8;
103    |DCJL|D4A,D24A    |D4     |(2-4),10-12,(6-8),10-12,(18),(20-22)                     |2DG,4DG,6-12DG,8-10DG,18DG,20DG,22DG                     |D8;
104    |DCJL|D4A,D20A    |D4     |(2-4),10-12,6-8                     |2DG,4DG,6-12DG                     |D8;
105    |DCJL|D4A,D30A    |D4     |(2-4),10-12,(6-8),10-12,(18),20-22,24                     |2DG,4DG,6-12DG,8-10DG,18DG,20DG,24DG                     |D8;
106    |DCJL|D2A,XIVDA    |D2     |2-4,10-12,6-8,(14-16)                     |4DG,6-12DG,14DG,16DG                     |D8;
107    |DCJL|D2A,XIIDA    |D2     |2-4,10-12,6-8,14-16                     |4DG,6-12DG,14DG                     |D8;
108    |DCJL|D2A,XIDA    |D2     |2-4,10-12,(6-8),10-12,18                     |4DG,6-12DG,8-10DG,18DG,20DG                     |D8;
109    |DCJL|D2A,X3DA    |D2     |2-4,10-12,(6-8),10-12,(18),20-22                     |4DG,6-12DG,8-10DG,18DG,20DG                     |D8;
110    |DCJL|D2A,D8A    |D2     |2-4                     |4DG                     |D8;
111    |DCJL|D2A,D14A    |D2     |2-4,10-12,(6-8),10-12                     |4DG,6-12DG,8-10DG                     |D8;
112    |DCJL|D2A,D24A    |D2     |2-4,10-12,(6-8),10-12,(18),(20-22)                     |4DG,6-12DG,8-10DG,18DG,20DG,22DG                     |D8;
113    |DCJL|D2A,D20A    |D2     |2-4,10-12,6-8                     |4DG,6-12DG                     |D8;
114    |DCJL|D2A,D30A    |D2     |2-4,10-12,(6-8),10-12,(18),20-22,24                     |4DG,6-12DG,8-10DG,18DG,20DG,24DG                     |D8;
115    |DCJL|D6A,D4A    |D6     |2-4                     |2DG                     |D4;
